Ponto,Água,,Combustíveis,,,,,,,Ar,,,,,,,,,Fornalha,Gases de combustão,Vapor,,,Digestor
136,0.73,0.44,0.92,0.91,0,0.53,0.48,0.55,0.94,0.76,0.88,0.65,0.93,0.69,0.51,0.83,0.66,0.07,0.67,0.87,0.77,0.25,0.97,0.26
137,0.69,0.41,0.86,0.91,0.03,0.81,0.49,0.54,0.94,0.75,0.9,0.72,0.91,0.56,0.54,0.71,0.7,0.07,0.61,0.85,0.71,0.25,0.96,0.26
138,0.73,0.4,0.86,0.93,0,0.8,0.49,0.54,0.95,0.73,0.9,0.66,0.93,0.56,0.53,0.71,0.7,0.07,0.64,0.86,0.69,0.25,0.95,0.23
139,0.79,0.41,0.92,0.94,0,0.74,0.5,0.53,0.95,0.75,0.9,0.67,0.93,0.69,0.5,0.8,0.68,0.07,0.66,0.88,0.79,0.25,0.97,0.25
140,0.78,0.37,0.86,0.94,0,0.8,0.46,0.54,0.94,0.73,0.9,0.65,0.92,0.56,0.52,0.69,0.69,0.07,0.52,0.85,0.7,0.24,0.96,0.25
141,0.76,0.41,0.92,0.93,0,0.8,0.44,0.52,0.93,0.75,0.89,0.65,0.93,0.69,0.5,0.83,0.66,0.07,0.62,0.88,0.77,0.24,0.97,0.22
142,0.75,0.41,0.92,0.92,0,0.79,0.44,0.56,0.93,0.75,0.89,0.63,0.92,0.69,0.5,0.84,0.65,0.07,0.65,0.88,0.76,0.24,0.97,0.21
143,0.76,0.42,0.92,0.92,0,0.81,0.44,0.53,0.93,0.75,0.88,0.65,0.91,0.7,0.49,0.81,0.65,0.07,0.67,0.88,0.75,0.24,0.97,0.21
144,0.74,0.4,0.92,0.93,0,0.8,0.45,0.53,0.94,0.75,0.88,0.65,0.91,0.69,0.49,0.78,0.65,0.07,0.67,0.88,0.74,0.24,0.96,0.25
145,0.74,0.4,0.92,0.93,0,0.84,0.47,0.52,0.94,0.75,0.88,0.65,0.92,0.69,0.5,0.79,0.65,0.07,0.63,0.88,0.75,0.24,0.97,0.25
146,0.76,0.39,0.91,0.91,0,0.8,0.41,0.53,0.93,0.75,0.86,0.64,0.89,0.69,0.49,0.77,0.64,0.07,0.65,0.88,0.75,0.25,0.96,0.24
147,0.73,0.34,0.89,0.91,0,0.81,0.41,0.53,0.94,0.73,0.83,0.56,0.88,0.59,0.5,0.7,0.64,0.06,0.61,0.85,0.72,0.25,0.96,0.21
148,0.74,0.41,0.88,0.91,0,0.85,0.35,0.53,0.94,0.74,0.81,0.65,0.85,0.63,0.49,0.67,0.67,0.07,0.61,0.87,0.74,0.24,0.96,0.25
149,0.74,0.4,0.88,0.91,0,0.83,0.45,0.53,0.94,0.76,0.81,0.67,0.84,0.63,0.49,0.61,0.7,0.06,0.61,0.86,0.73,0.25,0.96,0.27
150,0.73,0.39,0.88,0.91,0,0.78,0.45,0.55,0.93,0.74,0.82,0.66,0.86,0.62,0.5,0.61,0.71,0.06,0.64,0.86,0.73,0.25,0.96,0.25
151,0.73,0.37,0.88,0.91,0,0.81,0.43,0.54,0.94,0.74,0.81,0.66,0.83,0.61,0.5,0.63,0.69,0.05,0.63,0.86,0.75,0.24,0.96,0.26
152,0.74,0.39,0.88,0.91,0,0.7,0.44,0.54,0.93,0.74,0.8,0.65,0.83,0.62,0.5,0.63,0.69,0.05,0.61,0.86,0.74,0.25,0.96,0.25
153,0.74,0.38,0.88,0.91,0,0.79,0.45,0.53,0.94,0.75,0.79,0.66,0.83,0.62,0.5,0.6,0.71,0.05,0.62,0.85,0.73,0.25,0.96,0.27
154,0.74,0.36,0.87,0.91,0,0.78,0.45,0.54,0.93,0.74,0.81,0.65,0.84,0.59,0.5,0.58,0.72,0.04,0.61,0.85,0.72,0.25,0.96,0.25
155,0.75,0.36,0.87,0.92,0,0.8,0.43,0.54,0.93,0.73,0.8,0.66,0.82,0.59,0.5,0.61,0.68,0.05,0.62,0.84,0.74,0.24,0.96,0.22
156,0.74,0.38,0.88,0.91,0,0.75,0.45,0.53,0.94,0.75,0.83,0.66,0.87,0.62,0.5,0.65,0.68,0.05,0.65,0.86,0.77,0.25,0.96,0.26
157,0.75,0.38,0.88,0.92,0,0.79,0.45,0.53,0.94,0.75,0.79,0.66,0.83,0.62,0.5,0.65,0.68,0.05,0.66,0.85,0.77,0.24,0.97,0.28
158,0.76,0.38,0.88,0.93,0,0.68,0.44,0.53,0.94,0.75,0.78,0.65,0.82,0.62,0.5,0.64,0.67,0.05,0.65,0.85,0.75,0.25,0.96,0.21
159,0.76,0.38,0.88,0.92,0,0.7,0.44,0.54,0.94,0.75,0.77,0.65,0.81,0.62,0.49,0.64,0.66,0.05,0.62,0.85,0.76,0.24,0.96,0.23
160,0.69,0.34,0.75,0.94,0.19,0.7,0.44,0.54,0.93,0.68,0.8,0.85,0.75,0.42,0.54,0.47,0.77,0.06,0.57,0.81,0.67,0.25,0.95,0.28
161,0.7,0.36,0.78,0.93,0.11,0.71,0.45,0.53,0.94,0.7,0.81,0.85,0.77,0.48,0.53,0.49,0.75,0.07,0.6,0.82,0.69,0.25,0.95,0.31
162,0.7,0.34,0.78,0.92,0.07,0.7,0.47,0.52,0.94,0.7,0.81,0.75,0.8,0.46,0.53,0.49,0.76,0.07,0.62,0.8,0.67,0.24,0.95,0.29
163,0.71,0.4,0.82,0.92,0,0.73,0.48,0.51,0.95,0.72,0.83,0.63,0.86,0.52,0.53,0.59,0.72,0.07,0.65,0.85,0.69,0.25,0.95,0.22
164,0.7,0.38,0.87,0.93,0,0.73,0.46,0.52,0.95,0.75,0.82,0.65,0.86,0.64,0.5,0.66,0.68,0.07,0.66,0.85,0.75,0.24,0.96,0.22
165,0.28,0.81,0.14,0.93,0.8,0,0.04,0.66,0.67,0.62,0.38,0.85,0.29,0.31,0.25,0.2,0.45,0.66,0.23,0.76,0.1,0.24,0.91,0.21
166,0.64,0.27,0.59,0.93,0.43,0.47,0.32,0.54,0.93,0.7,0.79,0.85,0.74,0.51,0.52,0.29,0.85,0.09,0.52,0.73,0.6,0.24,0.94,0.27
167,0.68,0.29,0.77,0.94,0,0.7,0.46,0.51,0.94,0.69,0.8,0.62,0.82,0.43,0.54,0.44,0.77,0.07,0.55,0.77,0.61,0.25,0.94,0.35
168,0.69,0.32,0.81,0.95,0,0.72,0.47,0.51,0.94,0.71,0.81,0.62,0.83,0.5,0.52,0.54,0.72,0.06,0.59,0.78,0.66,0.25,0.95,0.34
169,0.7,0.36,0.84,0.94,0,0.77,0.46,0.52,0.94,0.72,0.8,0.64,0.83,0.57,0.5,0.6,0.71,0.06,0.62,0.79,0.71,0.25,0.95,0.28
170,0.72,0.38,0.84,0.93,0,0.76,0.44,0.5,0.94,0.73,0.79,0.64,0.82,0.57,0.5,0.58,0.71,0.06,0.63,0.8,0.69,0.25,0.95,0.24
171,0.73,0.4,0.88,0.92,0,0.8,0.46,0.52,0.95,0.75,0.81,0.66,0.85,0.71,0.48,0.64,0.69,0.07,0.66,0.83,0.74,0.24,0.96,0.24
172,0.75,0.44,0.89,0.91,0,0.79,0.46,0.51,0.94,0.75,0.84,0.67,0.86,0.72,0.47,0.65,0.7,0.06,0.67,0.83,0.75,0.24,0.96,0.23
173,0.76,0.43,0.9,0.92,0,0.8,0.47,0.52,0.94,0.76,0.83,0.67,0.86,0.7,0.47,0.68,0.69,0.05,0.68,0.84,0.78,0.24,0.97,0.23
174,0.76,0.41,0.91,0.92,0,0.85,0.48,0.51,0.94,0.76,0.84,0.67,0.88,0.67,0.49,0.68,0.68,0.05,0.7,0.84,0.78,0.25,0.97,0.24
175,0.78,0.38,0.91,0.93,0,0.85,0.47,0.51,0.95,0.76,0.84,0.66,0.87,0.67,0.49,0.68,0.68,0.04,0.71,0.84,0.79,0.25,0.97,0.27
176,0.77,0.37,0.91,0.92,0,0.81,0.48,0.5,0.94,0.76,0.82,0.65,0.86,0.68,0.48,0.71,0.65,0.05,0.71,0.85,0.78,0.25,0.97,0.23
177,0.64,0.29,0.74,0.95,0.11,0.78,0.46,0.51,0.93,0.7,0.84,0.59,0.87,0.33,0.55,0.39,0.83,0.06,0.54,0.78,0.6,0.25,0.94,0.32
178,0.62,0.29,0.74,0.94,0.11,0.69,0.46,0.5,0.92,0.7,0.84,0.58,0.87,0.33,0.55,0.38,0.81,0.06,0.54,0.78,0.59,0.25,0.94,0.29
179,0.69,0.35,0.8,0.94,0.07,0.7,0.46,0.53,0.92,0.72,0.85,0.62,0.88,0.49,0.52,0.47,0.78,0.07,0.6,0.81,0.67,0.25,0.95,0.32
180,0.69,0.37,0.84,0.94,0,0.7,0.45,0.52,0.92,0.73,0.84,0.63,0.87,0.6,0.5,0.54,0.74,0.06,0.6,0.82,0.68,0.25,0.95,0.28
181,0.69,0.35,0.84,0.94,0,0.65,0.45,0.52,0.92,0.73,0.82,0.63,0.85,0.6,0.49,0.55,0.71,0.06,0.62,0.83,0.69,0.25,0.95,0.27
182,0.7,0.36,0.87,0.94,0,0.73,0.45,0.52,0.93,0.75,0.82,0.65,0.85,0.67,0.48,0.61,0.7,0.07,0.64,0.85,0.73,0.25,0.96,0.29
183,0.71,0.36,0.89,0.92,0,0.74,0.45,0.53,0.93,0.74,0.83,0.66,0.85,0.67,0.47,0.61,0.7,0.06,0.64,0.86,0.73,0.25,0.96,0.29
184,0.73,0.4,0.9,0.92,0,0.74,0.43,0.53,0.93,0.71,0.82,0.66,0.85,0.78,0.45,0.62,0.7,0.06,0.65,0.86,0.76,0.25,0.96,0.27
185,0.74,0.39,0.9,0.93,0,0.75,0.42,0.52,0.93,0.76,0.81,0.66,0.84,0.75,0.46,0.59,0.71,0.06,0.65,0.87,0.76,0.24,0.96,0.24
186,0.72,0.35,0.9,0.93,0,0.76,0.41,0.53,0.93,0.76,0.8,0.67,0.84,0.74,0.46,0.59,0.71,0.06,0.65,0.86,0.76,0.26,0.96,0.23
187,0.73,0.37,0.88,0.93,0,0.76,0.43,0.53,0.93,0.75,0.81,0.66,0.85,0.71,0.46,0.56,0.72,0.06,0.64,0.86,0.74,0.24,0.96,0.23
188,0.72,0.4,0.88,0.92,0,0.76,0.43,0.54,0.92,0.75,0.82,0.66,0.84,0.71,0.46,0.6,0.71,0.06,0.64,0.86,0.73,0.25,0.96,0.2
189,0.7,0.43,0.88,0.91,0,0.76,0.43,0.6,0.91,0.75,0.81,0.68,0.83,0.71,0.48,0.6,0.7,0.06,0.63,0.87,0.74,0.24,0.96,0.18
190,0.72,0.37,0.84,0.91,0,0.78,0.47,0.53,0.93,0.74,0.83,0.64,0.87,0.6,0.5,0.54,0.73,0.06,0.59,0.85,0.68,0.25,0.95,0.21
191,0.66,0.34,0.8,0.93,0,0.84,0.5,0.54,0.93,0.73,0.85,0.63,0.88,0.49,0.55,0.49,0.77,0.06,0.57,0.82,0.64,0.25,0.95,0.3
192,0.65,0.36,0.8,0.94,0,0.75,0.47,0.54,0.93,0.73,0.84,0.65,0.86,0.49,0.55,0.51,0.76,0.07,0.58,0.83,0.65,0.25,0.95,0.31
193,0.71,0.35,0.81,0.93,0.06,0.8,0.43,0.54,0.93,0.72,0.82,0.77,0.82,0.52,0.52,0.56,0.72,0.07,0.6,0.84,0.7,0.25,0.96,0.27
194,0.72,0.35,0.81,0.93,0.06,0.73,0.41,0.55,0.93,0.73,0.82,0.78,0.79,0.52,0.51,0.54,0.72,0.06,0.6,0.83,0.69,0.25,0.95,0.21
195,0.69,0.35,0.81,0.92,0.07,0.69,0.44,0.54,0.93,0.73,0.83,0.8,0.81,0.52,0.52,0.52,0.75,0.06,0.6,0.83,0.7,0.25,0.95,0.23
196,0.7,0.35,0.83,0.93,0.06,0.71,0.46,0.54,0.93,0.72,0.83,0.78,0.81,0.56,0.51,0.53,0.74,0.05,0.61,0.83,0.72,0.25,0.96,0.27
197,0.73,0.35,0.83,0.94,0.05,0.78,0.46,0.55,0.93,0.73,0.81,0.77,0.79,0.58,0.5,0.55,0.72,0.05,0.6,0.83,0.73,0.24,0.96,0.29
198,0.73,0.34,0.83,0.95,0.07,0.78,0.46,0.54,0.93,0.74,0.81,0.78,0.79,0.58,0.5,0.53,0.74,0.06,0.6,0.82,0.73,0.25,0.96,0.25
199,0.71,0.37,0.87,0.94,0,0.74,0.43,0.55,0.94,0.72,0.83,0.71,0.83,0.67,0.49,0.54,0.74,0.06,0.6,0.85,0.72,0.25,0.96,0.3
200,0.7,0.39,0.87,0.94,0,0.67,0.45,0.54,0.93,0.72,0.83,0.7,0.83,0.67,0.49,0.52,0.75,0.06,0.61,0.85,0.71,0.25,0.96,0.32
201,0.72,0.35,0.87,0.93,0,0.73,0.45,0.54,0.94,0.72,0.81,0.71,0.82,0.63,0.49,0.53,0.74,0.06,0.6,0.82,0.71,0.24,0.96,0.23
202,0.72,0.36,0.87,0.94,0,0.73,0.43,0.54,0.94,0.7,0.82,0.71,0.81,0.67,0.49,0.53,0.74,0.05,0.59,0.83,0.72,0.25,0.96,0.27
203,0.74,0.33,0.87,0.94,0,0.8,0.48,0.55,0.94,0.72,0.82,0.72,0.82,0.67,0.48,0.52,0.74,0.05,0.62,0.82,0.71,0.24,0.96,0.26
204,0.73,0.34,0.87,0.94,0,0.82,0.48,0.55,0.94,0.72,0.81,0.72,0.81,0.67,0.48,0.53,0.74,0.05,0.63,0.82,0.72,0.24,0.96,0.24
205,0.71,0.33,0.87,0.93,0,0.79,0.48,0.56,0.93,0.72,0.8,0.72,0.8,0.67,0.47,0.53,0.73,0.05,0.64,0.82,0.73,0.24,0.96,0.24
206,0.7,0.35,0.86,0.93,0,0.79,0.48,0.56,0.93,0.7,0.86,0.71,0.85,0.67,0.49,0.51,0.76,0.05,0.61,0.83,0.71,0.25,0.96,0.24
207,0.7,0.33,0.86,0.93,0,0.79,0.48,0.55,0.93,0.7,0.83,0.71,0.83,0.65,0.5,0.54,0.74,0.06,0.61,0.82,0.71,0.25,0.96,0.2
208,0.72,0.34,0.86,0.93,0,0.7,0.47,0.53,0.94,0.7,0.83,0.7,0.82,0.67,0.49,0.52,0.73,0.05,0.62,0.83,0.71,0.25,0.95,0.27
209,0.69,0.36,0.84,0.93,0,0.72,0.48,0.5,0.95,0.7,0.81,0.69,0.81,0.63,0.49,0.51,0.75,0.06,0.58,0.82,0.68,0.25,0.95,0.26
210,0.68,0.35,0.84,0.92,0,0.72,0.49,0.51,0.95,0.7,0.82,0.69,0.82,0.63,0.5,0.52,0.74,0.05,0.6,0.82,0.69,0.25,0.95,0.27
211,0.7,0.33,0.84,0.91,0,0.75,0.49,0.51,0.95,0.7,0.83,0.7,0.83,0.63,0.51,0.53,0.74,0.05,0.6,0.82,0.7,0.25,0.95,0.27
212,0.72,0.35,0.84,0.91,0,0.75,0.48,0.5,0.95,0.7,0.82,0.7,0.81,0.64,0.5,0.54,0.73,0.06,0.57,0.82,0.7,0.25,0.95,0.27
213,0.68,0.39,0.86,0.92,0,0.77,0.45,0.54,0.92,0.73,0.78,0.68,0.79,0.64,0.5,0.58,0.7,0.06,0.6,0.77,0.72,0.25,0.96,0.31
214,0.7,0.36,0.86,0.92,0,0.76,0.46,0.55,0.93,0.73,0.79,0.67,0.8,0.68,0.49,0.57,0.71,0.06,0.61,0.77,0.72,0.25,0.96,0.25
215,0.7,0.37,0.86,0.92,0,0.66,0.47,0.54,0.94,0.73,0.79,0.67,0.8,0.68,0.49,0.54,0.71,0.06,0.62,0.77,0.7,0.24,0.96,0.2
216,0.7,0.32,0.86,0.92,0,0.72,0.48,0.54,0.94,0.73,0.78,0.67,0.8,0.68,0.49,0.55,0.71,0.06,0.63,0.77,0.71,0.24,0.96,0.2
217,0.71,0.32,0.86,0.94,0,0.72,0.49,0.53,0.94,0.73,0.79,0.67,0.8,0.68,0.5,0.56,0.71,0.07,0.63,0.77,0.71,0.25,0.96,0.29
218,0.71,0.34,0.86,0.94,0,0.7,0.49,0.53,0.94,0.73,0.8,0.67,0.81,0.67,0.5,0.56,0.71,0.06,0.63,0.78,0.7,0.25,0.96,0.22
219,0.72,0.35,0.86,0.94,0,0.83,0.29,0.53,0.94,0.73,0.79,0.68,0.8,0.66,0.5,0.56,0.71,0.06,0.62,0.78,0.71,0.24,0.96,0.26
220,0.73,0.38,0.86,0.94,0,0.82,0.45,0.52,0.94,0.73,0.79,0.68,0.8,0.66,0.5,0.55,0.71,0.06,0.61,0.78,0.7,0.25,0.96,0.23
221,0.73,0.37,0.86,0.93,0,0.84,0.42,0.52,0.94,0.73,0.79,0.68,0.8,0.63,0.51,0.57,0.71,0.06,0.62,0.78,0.71,0.24,0.96,0.23
222,0.73,0.37,0.86,0.93,0,0.84,0.44,0.53,0.94,0.73,0.79,0.68,0.81,0.63,0.51,0.56,0.71,0.06,0.62,0.79,0.7,0.25,0.95,0.25
223,0.73,0.41,0.86,0.93,0,0.84,0.44,0.52,0.94,0.73,0.79,0.68,0.8,0.63,0.52,0.55,0.72,0.06,0.62,0.8,0.71,0.25,0.96,0.24
224,0.71,0.38,0.86,0.92,0,0.84,0.39,0.51,0.94,0.73,0.79,0.68,0.81,0.63,0.51,0.53,0.73,0.07,0.61,0.78,0.7,0.25,0.95,0.23
225,0.72,0.38,0.85,0.92,0,0.84,0.43,0.51,0.94,0.73,0.8,0.7,0.8,0.64,0.51,0.55,0.72,0.06,0.61,0.78,0.71,0.25,0.96,0.23
226,0.7,0.43,0.84,0.93,0,0.83,0.48,0.51,0.94,0.71,0.81,0.7,0.82,0.6,0.51,0.54,0.73,0.06,0.59,0.78,0.69,0.25,0.95,0.25
227,0.68,0.45,0.84,0.92,0,0.71,0.49,0.52,0.94,0.71,0.81,0.69,0.81,0.61,0.52,0.54,0.73,0.06,0.58,0.77,0.68,0.25,0.95,0.21
228,0.74,0.47,0.84,0.91,0,0.75,0.49,0.5,0.94,0.74,0.8,0.7,0.82,0.62,0.52,0.53,0.74,0.06,0.6,0.8,0.69,0.25,0.95,0.23
229,0.69,0.42,0.84,0.91,0,0.69,0.49,0.51,0.95,0.72,0.81,0.67,0.82,0.59,0.52,0.53,0.74,0.06,0.6,0.77,0.68,0.25,0.95,0.25
230,0.71,0.43,0.84,0.92,0,0.81,0.49,0.51,0.94,0.72,0.8,0.7,0.81,0.59,0.51,0.53,0.74,0.06,0.6,0.78,0.69,0.25,0.95,0.26
231,0.7,0.36,0.83,0.92,0,0.74,0.49,0.5,0.94,0.73,0.81,0.69,0.82,0.53,0.53,0.5,0.75,0.06,0.58,0.76,0.67,0.24,0.95,0.26
232,0.68,0.37,0.83,0.92,0,0.6,0.49,0.5,0.93,0.73,0.8,0.68,0.82,0.53,0.53,0.51,0.75,0.07,0.58,0.77,0.66,0.25,0.95,0.23
233,0.67,0.36,0.83,0.93,0,0.7,0.48,0.51,0.87,0.73,0.79,0.69,0.81,0.54,0.52,0.49,0.75,0.06,0.57,0.76,0.66,0.25,0.95,0.19
234,0.67,0.36,0.83,0.93,0,0.64,0.46,0.52,0.87,0.73,0.79,0.68,0.8,0.54,0.52,0.46,0.76,0.06,0.56,0.76,0.65,0.25,0.95,0.25
235,0.67,0.36,0.83,0.92,0,0.67,0.48,0.51,0.91,0.73,0.79,0.68,0.79,0.54,0.52,0.47,0.76,0.06,0.56,0.76,0.65,0.25,0.95,0.26
236,0.56,0.11,0.51,0.9,0.76,0.52,0.35,0.42,0.77,0.7,0.21,0.77,0.16,0.28,0.28,0.24,0.22,0.18,0.44,0.41,0.51,0.24,0.95,0.22
237,0.59,0.22,0.52,0.89,0.75,0.49,0.44,0.57,0.75,0.7,0.23,0.77,0.2,0.26,0.31,0.24,0.22,0.24,0.45,0.49,0.51,0.25,0.96,0.11
238,0.47,0.66,0.37,0.89,0.75,0.59,0.46,0.61,0.75,0.7,0.26,0.82,0.25,0.29,0.31,0.24,0.28,0.33,0.38,0.6,0.36,0.26,0.94,0.11
239,0.52,0.49,0.48,0.89,0.77,0.15,0.47,0.6,0.75,0.7,0.29,0.82,0.28,0.27,0.32,0.24,0.3,0.24,0.41,0.55,0.47,0.25,0.94,0.1
240,0.55,0.4,0.49,0.89,0.76,0.57,0.48,0.59,0.75,0.72,0.26,0.83,0.25,0.26,0.32,0.24,0.27,0.2,0.42,0.48,0.48,0.25,0.95,0.07
241,0.54,0.21,0.52,0.89,0.54,0.55,0.47,0.56,0.76,0.72,0.25,0.85,0.26,0.24,0.32,0.24,0.28,0.15,0.4,0.48,0.41,0.25,0.95,0.19
242,0.54,0.18,0.52,0.89,0.56,0.55,0.44,0.56,0.76,0.72,0.25,0.85,0.27,0.23,0.32,0.24,0.28,0.15,0.39,0.47,0.43,0.24,0.95,0.21
243,0.55,0.19,0.52,0.9,0.47,0.55,0.42,0.55,0.76,0.72,0.26,0.85,0.28,0.23,0.32,0.24,0.3,0.14,0.39,0.51,0.4,0.25,0.94,0.27
244,0.57,0.37,0.55,0.91,0.45,0.55,0.42,0.55,0.77,0.66,0.38,0.86,0.37,0.25,0.32,0.24,0.33,0.11,0.43,0.68,0.46,0.26,0.95,0.35
245,0.57,0.43,0.59,0.9,0.36,0.6,0.42,0.56,0.77,0.66,0.44,0.85,0.4,0.24,0.33,0.26,0.36,0.08,0.47,0.73,0.5,0.25,0.96,0.35
246,0.57,0.47,0.59,0.9,0.33,0.59,0.44,0.56,0.76,0.66,0.45,0.85,0.4,0.23,0.33,0.27,0.36,0.09,0.47,0.73,0.5,0.26,0.95,0.35
247,0.62,0.35,0.59,0.92,0.35,0.63,0.46,0.56,0.79,0.66,0.54,0.85,0.52,0.23,0.38,0.26,0.49,0.11,0.45,0.73,0.51,0.25,0.94,0.21
248,0.61,0.33,0.59,0.93,0.39,0.63,0.45,0.55,0.91,0.66,0.82,0.89,0.75,0.24,0.54,0.32,0.81,0.11,0.46,0.73,0.56,0.24,0.95,0.15
249,0.58,0.33,0.56,0.94,0.37,0.58,0.42,0.52,0.92,0.61,0.81,0.89,0.72,0.25,0.54,0.27,0.81,0.09,0.43,0.72,0.5,0.25,0.94,0.16
250,0.6,0.3,0.59,0.94,0.38,0.55,0.41,0.53,0.92,0.59,0.82,0.87,0.74,0.27,0.54,0.34,0.78,0.07,0.45,0.73,0.53,0.24,0.94,0.23
251,0.64,0.55,0.8,0.89,0,0.59,0.45,0.55,0.94,0.69,0.85,0.62,0.88,0.55,0.53,0.53,0.74,0.08,0.54,0.76,0.64,0.24,0.95,0.19
252,0.64,0.48,0.78,0.89,0,0.6,0.43,0.5,0.95,0.69,0.82,0.61,0.83,0.48,0.54,0.48,0.75,0.16,0.53,0.77,0.6,0.25,0.94,0.18
253,0.64,0.59,0.78,0.89,0,0.61,0.42,0.49,0.95,0.69,0.8,0.63,0.8,0.47,0.54,0.4,0.77,0.24,0.52,0.13,0.59,0.26,0.94,0.2
254,0.64,0.64,0.78,0.89,0,0.67,0.43,0.49,0.95,0.69,0.78,0.63,0.79,0.47,0.52,0.49,0.69,0.28,0.53,0.08,0.59,0.25,0.94,0.24
255,0.75,0.54,0.87,0.91,0,0.74,0.45,0.5,0.95,0.75,0.81,0.65,0.86,0.67,0.49,0.65,0.65,0.07,0.63,0.69,0.74,0.24,0.96,0.25
256,0.74,0.57,0.89,0.92,0,0.73,0.42,0.5,0.95,0.75,0.84,0.66,0.88,0.68,0.5,0.67,0.66,0.07,0.63,0.81,0.74,0.25,0.96,0.25
257,0.8,0.61,0.91,0.9,0,0.76,0.42,0.5,0.95,0.76,0.86,0.69,0.89,0.78,0.49,0.72,0.65,0.07,0.68,0.83,0.79,0.24,0.97,0.25
258,0.66,0.41,0.74,0.93,0.07,0.76,0.41,0.51,0.94,0.69,0.84,0.75,0.82,0.37,0.57,0.38,0.79,0.1,0.5,0.77,0.58,0.24,0.95,0.29
259,0.61,0.37,0.74,0.92,0.14,0.63,0.45,0.51,0.94,0.65,0.88,0.81,0.83,0.49,0.56,0.45,0.77,0.1,0.52,0.78,0.65,0.25,0.95,0.2
260,0.53,0.36,0.51,0.92,0.36,0.2,0.43,0.54,0.94,0.62,0.84,0.85,0.75,0.32,0.57,0.34,0.8,0.24,0.41,0.76,0.42,0.24,0.93,0.23
261,0.66,0.56,0.83,0.92,0,0.68,0.39,0.57,0.94,0.7,0.82,0.63,0.86,0.56,0.53,0.52,0.73,0.06,0.56,0.8,0.67,0.24,0.95,0.27
262,0.7,0.54,0.83,0.91,0,0.81,0.45,0.56,0.94,0.71,0.86,0.64,0.89,0.56,0.53,0.54,0.73,0.06,0.6,0.8,0.68,0.25,0.95,0.22
263,0.74,0.5,0.83,0.9,0,0.7,0.44,0.55,0.94,0.72,0.85,0.63,0.88,0.58,0.51,0.55,0.7,0.07,0.62,0.81,0.68,0.24,0.95,0.23
264,0.76,0.59,0.88,0.9,0,0.7,0.43,0.55,0.94,0.74,0.84,0.68,0.87,0.67,0.49,0.65,0.65,0.07,0.64,0.83,0.75,0.24,0.96,0.23
265,0.75,0.62,0.91,0.9,0,0.72,0.41,0.54,0.94,0.75,0.83,0.68,0.86,0.71,0.49,0.67,0.66,0.06,0.64,0.83,0.78,0.25,0.97,0.27
266,0.77,0.62,0.88,0.91,0,0.72,0.45,0.53,0.94,0.74,0.84,0.7,0.87,0.82,0.47,0.55,0.72,0.07,0.65,0.83,0.75,0.25,0.96,0.28
267,0.78,0.58,0.9,0.91,0,0.78,0.46,0.52,0.95,0.75,0.86,0.7,0.89,0.72,0.49,0.63,0.7,0.06,0.69,0.83,0.77,0.25,0.96,0.26
268,0.78,0.56,0.9,0.91,0,0.81,0.47,0.53,0.95,0.75,0.86,0.7,0.9,0.71,0.49,0.65,0.7,0.06,0.68,0.84,0.77,0.25,0.97,0.24
269,0.75,0.53,0.9,0.91,0,0.76,0.48,0.52,0.95,0.74,0.88,0.67,0.92,0.68,0.51,0.65,0.7,0.06,0.69,0.84,0.76,0.24,0.96,0.25
270,0.77,0.57,0.9,0.91,0,0.81,0.47,0.52,0.95,0.75,0.87,0.67,0.91,0.71,0.5,0.68,0.69,0.06,0.68,0.85,0.78,0.24,0.97,0.27
271,0.74,0.48,0.91,0.89,0,0.78,0.46,0.51,0.95,0.76,0.85,0.68,0.89,0.74,0.48,0.67,0.68,0.06,0.67,0.83,0.76,0.25,0.96,0.21
272,0.76,0.49,0.91,0.9,0,0.7,0.48,0.51,0.95,0.77,0.85,0.7,0.88,0.74,0.48,0.64,0.69,0.06,0.66,0.83,0.76,0.25,0.96,0.19
273,0.77,0.54,0.91,0.9,0,0.78,0.46,0.52,0.94,0.77,0.85,0.7,0.89,0.73,0.48,0.66,0.69,0.07,0.65,0.84,0.77,0.25,0.96,0.2
274,0.77,0.48,0.91,0.91,0,0.79,0.45,0.54,0.94,0.77,0.85,0.7,0.88,0.73,0.48,0.67,0.68,0.07,0.65,0.83,0.77,0.24,0.96,0.16
275,0.77,0.48,0.91,0.91,0,0.81,0.43,0.53,0.94,0.73,0.85,0.72,0.86,0.77,0.47,0.67,0.67,0.06,0.66,0.83,0.78,0.25,0.97,0.21
276,0.7,0.42,0.81,0.9,0,0.8,0.46,0.53,0.94,0.7,0.83,0.67,0.84,0.55,0.52,0.45,0.76,0.09,0.6,0.59,0.64,0.24,0.94,0.22
277,0.71,0.42,0.89,0.89,0,0.73,0.45,0.54,0.94,0.73,0.84,0.7,0.86,0.67,0.49,0.61,0.7,0.08,0.61,0.82,0.74,0.25,0.96,0.23
278,0.73,0.44,0.88,0.91,0,0.7,0.44,0.56,0.94,0.73,0.85,0.71,0.87,0.67,0.5,0.6,0.7,0.07,0.62,0.82,0.74,0.24,0.96,0.22
279,0.72,0.44,0.86,0.92,0,0.7,0.43,0.54,0.95,0.71,0.85,0.7,0.87,0.62,0.52,0.53,0.75,0.07,0.59,0.81,0.71,0.25,0.95,0.22
