Ponto,Água,,Combustíveis,,,,,,,Ar,,,,,,,,,Fornalha,Gases de combustão,Vapor,,,Digestor
2099,0.70,0.38,0.87,0.94,0.00,0.75,0.44,0.55,0.93,0.72,0.83,0.71,0.83,0.67,0.49,0.52,0.74,0.06,0.61,0.84,0.73,0.25,0.96,0.35
2100,0.70,0.38,0.87,0.94,0.00,0.51,0.44,0.55,0.93,0.72,0.83,0.69,0.83,0.67,0.49,0.52,0.75,0.06,0.61,0.84,0.68,0.24,0.95,0.34
2101,0.70,0.39,0.87,0.94,0.00,0.72,0.44,0.55,0.93,0.72,0.83,0.71,0.83,0.67,0.49,0.52,0.75,0.06,0.61,0.84,0.73,0.25,0.97,0.37
2102,0.70,0.39,0.87,0.94,0.00,0.72,0.44,0.55,0.93,0.72,0.83,0.70,0.83,0.66,0.49,0.52,0.75,0.06,0.61,0.85,0.72,0.25,0.96,0.33
2103,0.69,0.42,0.87,0.94,0.00,0.72,0.45,0.54,0.93,0.72,0.83,0.71,0.83,0.66,0.49,0.52,0.75,0.06,0.61,0.85,0.70,0.26,0.96,0.31
2104,0.69,0.37,0.87,0.94,0.00,0.62,0.45,0.54,0.93,0.72,0.83,0.70,0.82,0.67,0.49,0.52,0.75,0.06,0.61,0.85,0.69,0.24,0.96,0.31
2105,0.69,0.39,0.87,0.94,0.00,0.62,0.45,0.54,0.93,0.72,0.83,0.70,0.82,0.67,0.49,0.52,0.76,0.06,0.61,0.85,0.70,0.23,0.95,0.31
2106,0.69,0.39,0.87,0.94,0.00,0.62,0.45,0.54,0.93,0.72,0.83,0.70,0.82,0.67,0.49,0.52,0.76,0.06,0.61,0.85,0.71,0.25,0.96,0.31
2107,0.70,0.39,0.87,0.94,0.00,0.62,0.46,0.54,0.94,0.72,0.83,0.70,0.82,0.66,0.49,0.52,0.76,0.06,0.61,0.85,0.72,0.25,0.95,0.29
2108,0.70,0.40,0.87,0.94,0.00,0.68,0.46,0.54,0.94,0.72,0.83,0.71,0.82,0.67,0.49,0.53,0.76,0.06,0.61,0.85,0.73,0.26,0.96,0.25
2109,0.70,0.37,0.87,0.94,0.00,0.73,0.46,0.54,0.94,0.72,0.83,0.71,0.82,0.69,0.50,0.52,0.75,0.06,0.61,0.84,0.71,0.25,0.95,0.22
2110,0.70,0.39,0.87,0.94,0.00,0.73,0.46,0.54,0.94,0.72,0.83,0.71,0.82,0.68,0.49,0.52,0.75,0.06,0.61,0.84,0.71,0.25,0.96,0.20
2111,0.71,0.36,0.87,0.94,0.00,0.73,0.46,0.54,0.94,0.72,0.82,0.71,0.82,0.66,0.49,0.52,0.75,0.06,0.61,0.83,0.72,0.24,0.96,0.20
2112,0.71,0.33,0.87,0.94,0.00,0.73,0.46,0.54,0.94,0.72,0.82,0.71,0.82,0.63,0.49,0.52,0.75,0.06,0.61,0.82,0.72,0.24,0.95,0.22
2113,0.71,0.34,0.87,0.94,0.00,0.73,0.46,0.54,0.94,0.72,0.82,0.71,0.82,0.63,0.49,0.53,0.75,0.06,0.61,0.82,0.71,0.24,0.95,0.18
2114,0.71,0.34,0.87,0.94,0.00,0.73,0.45,0.54,0.94,0.72,0.82,0.71,0.82,0.63,0.49,0.53,0.75,0.06,0.61,0.82,0.70,0.24,0.96,0.16
2115,0.72,0.35,0.87,0.93,0.00,0.73,0.45,0.54,0.94,0.72,0.82,0.71,0.82,0.63,0.49,0.54,0.74,0.06,0.61,0.82,0.71,0.25,0.96,0.19
2116,0.72,0.35,0.87,0.93,0.00,0.73,0.45,0.54,0.94,0.72,0.81,0.71,0.82,0.62,0.49,0.53,0.74,0.06,0.61,0.82,0.71,0.24,0.95,0.24
2117,0.72,0.35,0.87,0.93,0.00,0.73,0.45,0.54,0.94,0.72,0.81,0.71,0.82,0.62,0.49,0.53,0.74,0.05,0.60,0.83,0.70,0.25,0.95,0.23
2118,0.72,0.34,0.87,0.93,0.00,0.73,0.45,0.54,0.94,0.72,0.81,0.71,0.82,0.63,0.48,0.53,0.74,0.05,0.60,0.82,0.71,0.26,0.96,0.24
2119,0.73,0.35,0.87,0.93,0.00,0.73,0.45,0.54,0.94,0.72,0.81,0.71,0.82,0.62,0.48,0.53,0.74,0.05,0.60,0.82,0.70,0.26,0.96,0.25
2120,0.73,0.30,0.87,0.93,0.00,0.73,0.45,0.54,0.94,0.72,0.81,0.71,0.82,0.62,0.48,0.53,0.74,0.05,0.60,0.82,0.69,0.23,0.95,0.29
2121,0.73,0.33,0.87,0.93,0.00,0.73,0.45,0.54,0.94,0.72,0.80,0.71,0.81,0.62,0.48,0.52,0.73,0.05,0.60,0.82,0.71,0.25,0.96,0.27
2122,0.73,0.36,0.87,0.93,0.00,0.73,0.44,0.54,0.94,0.72,0.80,0.71,0.81,0.62,0.48,0.52,0.73,0.05,0.59,0.82,0.71,0.26,0.96,0.27
2123,0.73,0.37,0.87,0.93,0.00,0.73,0.44,0.54,0.94,0.72,0.80,0.71,0.81,0.62,0.48,0.53,0.73,0.05,0.59,0.82,0.71,0.24,0.95,0.26
2124,0.73,0.36,0.87,0.93,0.00,0.73,0.44,0.54,0.94,0.72,0.80,0.71,0.81,0.62,0.48,0.53,0.73,0.05,0.59,0.83,0.71,0.23,0.95,0.26
2125,0.72,0.35,0.87,0.94,0.00,0.73,0.44,0.54,0.94,0.71,0.80,0.71,0.81,0.65,0.48,0.53,0.74,0.05,0.59,0.82,0.71,0.26,0.96,0.25
2126,0.72,0.36,0.87,0.94,0.00,0.73,0.44,0.54,0.94,0.70,0.80,0.71,0.81,0.67,0.48,0.53,0.74,0.05,0.59,0.82,0.72,0.24,0.95,0.27
2127,0.72,0.36,0.87,0.94,0.00,0.73,0.44,0.54,0.94,0.70,0.80,0.71,0.81,0.67,0.49,0.53,0.74,0.05,0.59,0.83,0.71,0.25,0.96,0.26
2128,0.72,0.35,0.87,0.94,0.00,0.73,0.43,0.54,0.94,0.70,0.81,0.71,0.81,0.67,0.49,0.52,0.74,0.05,0.59,0.83,0.72,0.25,0.96,0.26
2129,0.72,0.35,0.87,0.94,0.00,0.73,0.43,0.54,0.94,0.70,0.81,0.71,0.81,0.67,0.49,0.53,0.74,0.05,0.59,0.83,0.71,0.24,0.96,0.29
2130,0.72,0.36,0.87,0.94,0.00,0.73,0.43,0.54,0.94,0.70,0.82,0.71,0.81,0.68,0.49,0.52,0.74,0.05,0.59,0.83,0.72,0.25,0.96,0.29
2131,0.72,0.36,0.87,0.94,0.00,0.73,0.43,0.54,0.94,0.70,0.82,0.71,0.82,0.68,0.49,0.52,0.74,0.05,0.59,0.84,0.72,0.25,0.96,0.28
2132,0.71,0.36,0.87,0.94,0.00,0.73,0.43,0.54,0.94,0.70,0.83,0.71,0.82,0.68,0.49,0.52,0.74,0.05,0.59,0.85,0.70,0.25,0.96,0.28
2133,0.71,0.37,0.87,0.94,0.00,0.73,0.43,0.54,0.93,0.70,0.83,0.71,0.82,0.68,0.49,0.52,0.74,0.05,0.59,0.85,0.72,0.24,0.96,0.27
2134,0.71,0.38,0.87,0.94,0.00,0.73,0.42,0.55,0.93,0.70,0.83,0.71,0.82,0.67,0.49,0.53,0.74,0.05,0.59,0.85,0.72,0.25,0.96,0.26
2135,0.71,0.36,0.87,0.94,0.00,0.73,0.42,0.55,0.94,0.70,0.83,0.71,0.82,0.68,0.49,0.52,0.74,0.05,0.59,0.85,0.72,0.25,0.96,0.26
2136,0.73,0.33,0.87,0.94,0.00,0.80,0.48,0.55,0.94,0.72,0.82,0.72,0.82,0.66,0.48,0.52,0.74,0.05,0.61,0.83,0.69,0.22,0.95,0.26
2137,0.74,0.32,0.87,0.94,0.00,0.80,0.48,0.55,0.94,0.72,0.82,0.71,0.82,0.67,0.48,0.52,0.74,0.05,0.61,0.82,0.73,0.25,0.96,0.26
2138,0.74,0.32,0.87,0.94,0.00,0.80,0.48,0.55,0.94,0.72,0.82,0.71,0.82,0.66,0.48,0.52,0.74,0.05,0.61,0.81,0.72,0.24,0.96,0.28
2139,0.74,0.32,0.87,0.94,0.00,0.80,0.48,0.55,0.94,0.72,0.82,0.71,0.82,0.67,0.48,0.52,0.74,0.05,0.62,0.81,0.72,0.24,0.96,0.26
2140,0.74,0.34,0.87,0.94,0.00,0.81,0.48,0.55,0.94,0.72,0.82,0.72,0.82,0.67,0.48,0.52,0.74,0.05,0.62,0.82,0.71,0.23,0.96,0.27
2141,0.75,0.34,0.87,0.94,0.00,0.81,0.48,0.55,0.94,0.72,0.82,0.71,0.82,0.67,0.49,0.52,0.74,0.05,0.62,0.82,0.73,0.25,0.96,0.26
2142,0.75,0.32,0.87,0.94,0.00,0.81,0.48,0.55,0.94,0.72,0.82,0.72,0.82,0.67,0.49,0.52,0.74,0.05,0.62,0.82,0.71,0.24,0.95,0.25
2143,0.75,0.34,0.87,0.94,0.00,0.83,0.48,0.55,0.94,0.72,0.82,0.72,0.82,0.67,0.49,0.52,0.74,0.05,0.63,0.81,0.70,0.24,0.96,0.27
2144,0.74,0.34,0.87,0.94,0.00,0.83,0.48,0.55,0.94,0.72,0.82,0.72,0.82,0.67,0.49,0.53,0.74,0.05,0.63,0.81,0.71,0.25,0.96,0.25
2145,0.74,0.32,0.87,0.94,0.00,0.83,0.48,0.55,0.94,0.72,0.82,0.72,0.82,0.68,0.49,0.53,0.74,0.05,0.63,0.81,0.73,0.24,0.96,0.25
2146,0.74,0.32,0.87,0.94,0.00,0.83,0.48,0.55,0.94,0.72,0.82,0.72,0.82,0.67,0.49,0.53,0.74,0.05,0.63,0.81,0.73,0.23,0.96,0.25
2147,0.74,0.33,0.87,0.94,0.00,0.83,0.48,0.55,0.94,0.72,0.82,0.72,0.82,0.67,0.48,0.54,0.74,0.05,0.63,0.82,0.73,0.24,0.96,0.25
2148,0.74,0.34,0.87,0.94,0.00,0.83,0.48,0.55,0.94,0.72,0.82,0.72,0.81,0.68,0.48,0.54,0.74,0.05,0.63,0.82,0.71,0.25,0.96,0.25
2149,0.74,0.35,0.87,0.94,0.00,0.83,0.49,0.55,0.94,0.72,0.82,0.72,0.81,0.68,0.48,0.55,0.74,0.05,0.63,0.82,0.73,0.26,0.96,0.25
2150,0.74,0.34,0.87,0.94,0.00,0.83,0.49,0.55,0.94,0.72,0.82,0.72,0.81,0.68,0.48,0.55,0.74,0.05,0.63,0.82,0.74,0.25,0.96,0.24
2151,0.74,0.34,0.87,0.94,0.00,0.83,0.48,0.55,0.94,0.72,0.82,0.72,0.81,0.68,0.48,0.55,0.74,0.05,0.63,0.82,0.72,0.25,0.96,0.27
2152,0.74,0.34,0.87,0.94,0.00,0.83,0.48,0.55,0.94,0.72,0.82,0.72,0.81,0.68,0.48,0.54,0.74,0.05,0.63,0.82,0.72,0.25,0.96,0.25
2153,0.74,0.34,0.87,0.94,0.00,0.83,0.48,0.55,0.94,0.72,0.82,0.72,0.81,0.66,0.48,0.54,0.74,0.05,0.63,0.82,0.72,0.25,0.96,0.23
2154,0.73,0.34,0.87,0.94,0.00,0.83,0.48,0.55,0.94,0.72,0.82,0.71,0.81,0.67,0.48,0.53,0.74,0.05,0.63,0.82,0.70,0.25,0.96,0.25
2155,0.73,0.38,0.87,0.94,0.00,0.83,0.48,0.55,0.94,0.72,0.82,0.72,0.81,0.67,0.48,0.52,0.74,0.05,0.63,0.82,0.73,0.25,0.95,0.23
2156,0.73,0.35,0.87,0.94,0.00,0.83,0.48,0.55,0.94,0.72,0.82,0.72,0.81,0.68,0.48,0.53,0.74,0.05,0.63,0.82,0.72,0.24,0.96,0.23
2157,0.73,0.32,0.87,0.94,0.00,0.83,0.47,0.55,0.94,0.72,0.81,0.71,0.81,0.66,0.48,0.53,0.74,0.05,0.63,0.82,0.71,0.24,0.96,0.23
2158,0.73,0.34,0.87,0.94,0.00,0.83,0.47,0.55,0.94,0.73,0.81,0.72,0.81,0.67,0.48,0.53,0.74,0.05,0.63,0.82,0.73,0.25,0.96,0.23
2159,0.73,0.35,0.87,0.94,0.00,0.83,0.47,0.55,0.94,0.72,0.81,0.72,0.81,0.66,0.48,0.53,0.74,0.05,0.63,0.82,0.73,0.24,0.96,0.22
2160,0.73,0.35,0.87,0.94,0.00,0.82,0.47,0.56,0.94,0.72,0.81,0.72,0.81,0.66,0.47,0.53,0.74,0.05,0.63,0.82,0.72,0.24,0.96,0.22
2161,0.73,0.34,0.87,0.94,0.00,0.82,0.47,0.56,0.93,0.72,0.81,0.72,0.81,0.66,0.47,0.53,0.73,0.05,0.63,0.82,0.74,0.24,0.96,0.22
2162,0.72,0.34,0.87,0.94,0.00,0.82,0.47,0.56,0.93,0.72,0.81,0.72,0.81,0.66,0.47,0.53,0.73,0.05,0.63,0.82,0.73,0.24,0.96,0.23
2163,0.72,0.37,0.87,0.94,0.00,0.82,0.46,0.56,0.93,0.72,0.81,0.72,0.81,0.66,0.47,0.53,0.73,0.05,0.63,0.83,0.74,0.25,0.96,0.23
2164,0.72,0.31,0.87,0.94,0.00,0.82,0.46,0.56,0.93,0.72,0.81,0.72,0.81,0.67,0.47,0.53,0.73,0.05,0.63,0.81,0.73,0.24,0.96,0.24
2165,0.72,0.32,0.87,0.94,0.00,0.59,0.46,0.56,0.93,0.72,0.80,0.70,0.81,0.67,0.47,0.53,0.73,0.05,0.63,0.81,0.73,0.24,0.96,0.24
2166,0.72,0.32,0.87,0.94,0.00,0.79,0.46,0.56,0.93,0.72,0.80,0.71,0.80,0.67,0.47,0.53,0.73,0.05,0.63,0.81,0.75,0.27,0.96,0.24
2167,0.71,0.34,0.87,0.94,0.00,0.79,0.46,0.56,0.93,0.72,0.80,0.71,0.80,0.66,0.47,0.53,0.73,0.05,0.63,0.81,0.73,0.24,0.96,0.24
2168,0.71,0.34,0.87,0.94,0.00,0.79,0.46,0.56,0.93,0.72,0.80,0.72,0.80,0.66,0.47,0.54,0.73,0.05,0.63,0.81,0.72,0.25,0.96,0.24
2169,0.71,0.34,0.87,0.94,0.00,0.79,0.47,0.56,0.93,0.72,0.80,0.71,0.80,0.66,0.47,0.54,0.73,0.05,0.63,0.81,0.74,0.26,0.96,0.24
2170,0.71,0.34,0.87,0.94,0.00,0.79,0.47,0.56,0.93,0.72,0.80,0.72,0.80,0.68,0.47,0.53,0.73,0.05,0.63,0.82,0.72,0.24,0.96,0.25
2171,0.71,0.34,0.87,0.94,0.00,0.79,0.47,0.56,0.93,0.72,0.80,0.71,0.80,0.66,0.47,0.53,0.73,0.05,0.64,0.82,0.73,0.24,0.96,0.25
2172,0.71,0.34,0.87,0.93,0.00,0.79,0.47,0.56,0.93,0.72,0.80,0.71,0.80,0.66,0.47,0.54,0.73,0.05,0.64,0.83,0.74,0.24,0.96,0.25
2173,0.71,0.33,0.87,0.93,0.00,0.79,0.48,0.56,0.93,0.72,0.80,0.71,0.80,0.67,0.47,0.54,0.73,0.05,0.64,0.83,0.73,0.24,0.96,0.25
2174,0.71,0.33,0.87,0.93,0.00,0.79,0.48,0.56,0.93,0.72,0.80,0.71,0.80,0.67,0.47,0.52,0.73,0.05,0.64,0.81,0.71,0.25,0.96,0.25
2175,0.71,0.30,0.87,0.93,0.00,0.79,0.48,0.56,0.93,0.72,0.80,0.71,0.80,0.66,0.47,0.52,0.73,0.05,0.64,0.80,0.72,0.24,0.96,0.25
2176,0.71,0.30,0.87,0.93,0.00,0.79,0.48,0.56,0.93,0.72,0.80,0.71,0.80,0.66,0.47,0.52,0.73,0.05,0.64,0.80,0.73,0.24,0.96,0.24
2177,0.71,0.30,0.87,0.93,0.00,0.79,0.48,0.56,0.93,0.72,0.81,0.71,0.80,0.67,0.47,0.53,0.73,0.05,0.64,0.80,0.73,0.24,0.96,0.24
2178,0.71,0.32,0.87,0.93,0.00,0.79,0.49,0.56,0.93,0.72,0.81,0.72,0.81,0.67,0.47,0.53,0.74,0.05,0.64,0.83,0.73,0.24,0.96,0.24
2179,0.71,0.35,0.87,0.93,0.00,0.79,0.49,0.56,0.93,0.72,0.81,0.72,0.81,0.67,0.47,0.54,0.74,0.05,0.64,0.84,0.71,0.24,0.96,0.24
2180,0.72,0.36,0.87,0.93,0.00,0.79,0.49,0.56,0.93,0.72,0.81,0.72,0.81,0.66,0.47,0.54,0.74,0.05,0.64,0.84,0.72,0.26,0.96,0.25
2181,0.72,0.36,0.87,0.93,0.00,0.79,0.49,0.56,0.93,0.72,0.81,0.71,0.81,0.67,0.47,0.54,0.74,0.05,0.64,0.84,0.74,0.24,0.96,0.25
2182,0.72,0.36,0.87,0.93,0.00,0.79,0.49,0.56,0.93,0.72,0.81,0.72,0.81,0.66,0.48,0.54,0.74,0.05,0.64,0.85,0.74,0.23,0.96,0.23
2183,0.72,0.36,0.87,0.93,0.00,0.79,0.49,0.56,0.93,0.71,0.81,0.72,0.81,0.67,0.48,0.54,0.74,0.05,0.64,0.85,0.73,0.24,0.96,0.22
2184,0.72,0.35,0.87,0.93,0.00,0.79,0.49,0.56,0.93,0.70,0.81,0.74,0.81,0.66,0.49,0.53,0.74,0.06,0.63,0.84,0.73,0.25,0.96,0.23
2185,0.72,0.34,0.85,0.93,0.00,0.79,0.49,0.56,0.93,0.69,0.82,0.73,0.81,0.64,0.50,0.50,0.75,0.05,0.63,0.84,0.71,0.23,0.95,0.25
2186,0.72,0.34,0.85,0.93,0.00,0.79,0.49,0.56,0.93,0.69,0.83,0.71,0.83,0.67,0.49,0.50,0.75,0.05,0.63,0.84,0.71,0.25,0.95,0.23
2187,0.72,0.33,0.86,0.92,0.00,0.79,0.49,0.56,0.93,0.69,0.84,0.71,0.84,0.68,0.48,0.51,0.75,0.05,0.63,0.84,0.70,0.25,0.95,0.23
2188,0.72,0.33,0.86,0.92,0.00,0.79,0.49,0.56,0.93,0.69,0.85,0.70,0.86,0.69,0.48,0.52,0.75,0.05,0.62,0.84,0.71,0.24,0.95,0.23
2189,0.71,0.34,0.86,0.93,0.00,0.79,0.49,0.56,0.93,0.69,0.86,0.71,0.86,0.69,0.48,0.51,0.75,0.05,0.62,0.84,0.71,0.25,0.96,0.24
2190,0.71,0.35,0.85,0.93,0.00,0.79,0.49,0.56,0.93,0.69,0.87,0.71,0.86,0.69,0.48,0.50,0.76,0.05,0.62,0.84,0.69,0.24,0.96,0.22
2191,0.71,0.35,0.86,0.93,0.00,0.79,0.48,0.56,0.93,0.69,0.88,0.71,0.86,0.69,0.48,0.50,0.76,0.05,0.62,0.84,0.71,0.25,0.96,0.22
2192,0.71,0.36,0.86,0.93,0.00,0.79,0.48,0.56,0.93,0.69,0.88,0.71,0.86,0.70,0.48,0.50,0.76,0.05,0.61,0.85,0.72,0.25,0.95,0.22
2193,0.70,0.36,0.86,0.93,0.00,0.79,0.48,0.56,0.93,0.69,0.88,0.70,0.86,0.70,0.48,0.50,0.76,0.05,0.61,0.85,0.69,0.25,0.96,0.22
2194,0.70,0.36,0.86,0.93,0.00,0.79,0.48,0.56,0.93,0.69,0.87,0.71,0.86,0.70,0.48,0.50,0.76,0.05,0.61,0.85,0.72,0.25,0.96,0.23
2195,0.70,0.36,0.85,0.93,0.00,0.79,0.48,0.56,0.93,0.69,0.87,0.71,0.86,0.70,0.49,0.50,0.77,0.05,0.61,0.84,0.73,0.24,0.96,0.22
2196,0.70,0.37,0.86,0.93,0.00,0.79,0.48,0.56,0.93,0.69,0.87,0.71,0.86,0.71,0.49,0.50,0.77,0.05,0.60,0.84,0.72,0.24,0.96,0.23
2197,0.69,0.37,0.86,0.93,0.00,0.79,0.48,0.56,0.93,0.69,0.87,0.70,0.86,0.70,0.49,0.50,0.77,0.05,0.60,0.84,0.72,0.25,0.96,0.22
2198,0.69,0.38,0.86,0.93,0.00,0.79,0.48,0.56,0.93,0.70,0.87,0.71,0.86,0.70,0.49,0.50,0.77,0.05,0.60,0.84,0.72,0.24,0.96,0.23
2199,0.69,0.38,0.86,0.93,0.00,0.79,0.48,0.56,0.93,0.71,0.86,0.70,0.86,0.71,0.49,0.50,0.77,0.05,0.60,0.84,0.69,0.25,0.96,0.23
2200,0.69,0.39,0.86,0.93,0.00,0.79,0.48,0.56,0.93,0.72,0.86,0.71,0.86,0.71,0.49,0.50,0.77,0.05,0.60,0.84,0.71,0.25,0.96,0.24
2201,0.68,0.39,0.86,0.93,0.00,0.79,0.48,0.56,0.93,0.71,0.86,0.71,0.86,0.66,0.49,0.50,0.77,0.05,0.60,0.84,0.72,0.24,0.95,0.24
2202,0.68,0.38,0.86,0.93,0.00,0.79,0.48,0.56,0.93,0.73,0.86,0.71,0.86,0.64,0.49,0.50,0.77,0.05,0.60,0.83,0.71,0.26,0.96,0.26
2203,0.69,0.33,0.86,0.93,0.00,0.79,0.48,0.56,0.93,0.73,0.86,0.71,0.86,0.62,0.50,0.50,0.77,0.05,0.60,0.82,0.72,0.24,0.96,0.24
2204,0.69,0.34,0.85,0.93,0.00,0.79,0.48,0.56,0.93,0.71,0.85,0.71,0.86,0.62,0.49,0.50,0.76,0.05,0.60,0.82,0.71,0.26,0.96,0.26
2205,0.69,0.32,0.86,0.93,0.00,0.79,0.47,0.56,0.93,0.71,0.85,0.71,0.86,0.64,0.49,0.51,0.76,0.06,0.60,0.82,0.71,0.24,0.96,0.26
2206,0.69,0.34,0.86,0.93,0.00,0.79,0.47,0.56,0.93,0.71,0.85,0.71,0.86,0.63,0.49,0.51,0.76,0.06,0.60,0.82,0.72,0.24,0.96,0.25
2207,0.69,0.33,0.86,0.93,0.00,0.79,0.47,0.56,0.93,0.70,0.85,0.71,0.85,0.64,0.50,0.52,0.76,0.06,0.60,0.82,0.71,0.24,0.95,0.25
2208,0.70,0.33,0.86,0.93,0.00,0.79,0.47,0.56,0.93,0.71,0.85,0.71,0.85,0.64,0.51,0.52,0.75,0.06,0.60,0.81,0.72,0.25,0.96,0.23
2209,0.70,0.35,0.86,0.93,0.00,0.79,0.47,0.56,0.93,0.71,0.84,0.71,0.85,0.63,0.51,0.52,0.75,0.06,0.60,0.81,0.70,0.23,0.96,0.24
2210,0.70,0.33,0.86,0.93,0.00,0.79,0.47,0.56,0.93,0.71,0.84,0.71,0.85,0.63,0.51,0.52,0.75,0.06,0.60,0.81,0.72,0.26,0.95,0.22
2211,0.70,0.36,0.86,0.93,0.00,0.79,0.47,0.56,0.93,0.70,0.84,0.70,0.84,0.63,0.51,0.52,0.74,0.06,0.60,0.81,0.72,0.25,0.96,0.23
2212,0.71,0.36,0.86,0.93,0.00,0.79,0.47,0.56,0.93,0.70,0.84,0.71,0.84,0.63,0.51,0.53,0.74,0.06,0.60,0.81,0.72,0.25,0.96,0.24
2213,0.71,0.33,0.86,0.93,0.00,0.79,0.47,0.56,0.93,0.71,0.84,0.71,0.84,0.63,0.51,0.53,0.74,0.06,0.60,0.81,0.71,0.24,0.95,0.24
2214,0.71,0.33,0.86,0.93,0.00,0.79,0.47,0.55,0.93,0.70,0.84,0.71,0.84,0.64,0.51,0.54,0.73,0.06,0.60,0.82,0.70,0.25,0.95,0.22
2215,0.72,0.33,0.86,0.93,0.00,0.79,0.47,0.55,0.93,0.71,0.84,0.70,0.83,0.63,0.51,0.53,0.73,0.06,0.60,0.83,0.70,0.25,0.95,0.20
2216,0.72,0.32,0.86,0.93,0.00,0.79,0.47,0.55,0.93,0.71,0.84,0.71,0.83,0.63,0.51,0.54,0.74,0.06,0.60,0.83,0.72,0.24,0.96,0.22
2217,0.72,0.32,0.86,0.93,0.00,0.79,0.47,0.55,0.93,0.70,0.84,0.71,0.83,0.63,0.51,0.54,0.74,0.06,0.60,0.82,0.72,0.24,0.96,0.17
2218,0.71,0.33,0.86,0.93,0.00,0.79,0.47,0.55,0.93,0.70,0.83,0.71,0.83,0.63,0.51,0.55,0.74,0.06,0.60,0.82,0.72,0.24,0.96,0.15
2219,0.71,0.35,0.86,0.93,0.00,0.79,0.47,0.55,0.93,0.71,0.83,0.71,0.83,0.64,0.51,0.55,0.74,0.06,0.60,0.82,0.70,0.25,0.95,0.16
2220,0.71,0.33,0.85,0.93,0.00,0.79,0.47,0.55,0.93,0.70,0.83,0.71,0.83,0.65,0.51,0.55,0.74,0.06,0.60,0.82,0.70,0.26,0.96,0.19
2221,0.71,0.34,0.85,0.93,0.00,0.79,0.47,0.55,0.93,0.71,0.83,0.71,0.83,0.63,0.51,0.54,0.74,0.06,0.60,0.82,0.70,0.24,0.95,0.19
2222,0.70,0.35,0.85,0.93,0.00,0.79,0.47,0.55,0.93,0.71,0.83,0.71,0.83,0.63,0.51,0.54,0.74,0.06,0.60,0.82,0.72,0.25,0.96,0.19
2223,0.70,0.36,0.86,0.93,0.00,0.79,0.47,0.55,0.93,0.71,0.83,0.71,0.83,0.64,0.51,0.54,0.75,0.06,0.60,0.82,0.70,0.24,0.96,0.18
2224,0.70,0.37,0.86,0.93,0.00,0.79,0.48,0.55,0.93,0.70,0.83,0.71,0.83,0.65,0.50,0.54,0.75,0.06,0.60,0.82,0.70,0.25,0.96,0.16
2225,0.69,0.36,0.86,0.93,0.00,0.79,0.48,0.55,0.93,0.71,0.83,0.71,0.82,0.68,0.49,0.53,0.75,0.06,0.60,0.82,0.70,0.25,0.95,0.16
2226,0.69,0.34,0.86,0.93,0.00,0.79,0.48,0.55,0.93,0.71,0.83,0.71,0.82,0.67,0.50,0.51,0.75,0.06,0.60,0.82,0.72,0.25,0.95,0.18
2227,0.69,0.32,0.86,0.93,0.00,0.79,0.48,0.55,0.93,0.71,0.82,0.71,0.82,0.65,0.50,0.53,0.75,0.06,0.60,0.82,0.72,0.26,0.96,0.18
2228,0.69,0.37,0.86,0.93,0.00,0.79,0.48,0.55,0.93,0.72,0.82,0.71,0.82,0.66,0.49,0.54,0.75,0.06,0.61,0.82,0.72,0.27,0.96,0.14
2229,0.68,0.35,0.85,0.93,0.00,0.79,0.48,0.55,0.93,0.71,0.82,0.70,0.82,0.66,0.48,0.53,0.75,0.06,0.61,0.82,0.71,0.23,0.96,0.14
2230,0.68,0.31,0.86,0.93,0.00,0.79,0.48,0.54,0.93,0.70,0.83,0.71,0.82,0.66,0.49,0.54,0.75,0.06,0.61,0.82,0.71,0.23,0.95,0.16
2231,0.68,0.31,0.85,0.93,0.00,0.79,0.48,0.54,0.93,0.70,0.83,0.71,0.83,0.66,0.49,0.55,0.75,0.06,0.61,0.82,0.71,0.23,0.96,0.19
2232,0.67,0.32,0.85,0.93,0.00,0.79,0.48,0.54,0.93,0.70,0.83,0.71,0.83,0.67,0.50,0.56,0.74,0.06,0.61,0.82,0.72,0.24,0.96,0.22
2233,0.68,0.32,0.86,0.93,0.00,0.79,0.48,0.54,0.93,0.70,0.83,0.71,0.83,0.68,0.50,0.55,0.74,0.06,0.61,0.82,0.72,0.25,0.96,0.22
2234,0.68,0.33,0.86,0.93,0.00,0.79,0.48,0.54,0.93,0.70,0.83,0.71,0.83,0.67,0.50,0.55,0.74,0.06,0.61,0.83,0.72,0.24,0.96,0.23
2235,0.68,0.34,0.86,0.93,0.00,0.79,0.48,0.54,0.94,0.70,0.83,0.71,0.83,0.67,0.50,0.54,0.74,0.06,0.61,0.83,0.71,0.25,0.96,0.27
2236,0.69,0.33,0.86,0.93,0.00,0.79,0.48,0.54,0.94,0.70,0.83,0.71,0.83,0.67,0.49,0.54,0.74,0.06,0.61,0.82,0.73,0.24,0.96,0.28
2237,0.69,0.32,0.86,0.93,0.00,0.79,0.48,0.54,0.94,0.70,0.83,0.71,0.83,0.66,0.49,0.54,0.74,0.06,0.62,0.82,0.70,0.25,0.96,0.30
2238,0.69,0.31,0.86,0.93,0.00,0.79,0.48,0.54,0.94,0.70,0.83,0.71,0.83,0.67,0.49,0.54,0.74,0.06,0.62,0.82,0.73,0.23,0.96,0.31
