Ponto,Água,,Combustíveis,,,,,,,Ar,,,,,,,,,Fornalha,Gases de combustão,Vapor,,,Digestor
134,0.62,0.36,0.59,0.92,0.34,0.62,0.46,0.56,0.78,0.66,0.51,0.85,0.49,0.23,0.37,0.26,0.46,0.11,0.45,0.73,0.51,0.25,0.94,0.22
135,0.61,0.33,0.59,0.93,0.39,0.63,0.45,0.55,0.91,0.66,0.82,0.89,0.75,0.24,0.54,0.32,0.81,0.11,0.46,0.73,0.56,0.24,0.95,0.15
136,0.58,0.33,0.56,0.94,0.37,0.58,0.42,0.52,0.92,0.61,0.81,0.89,0.72,0.25,0.54,0.27,0.81,0.09,0.43,0.72,0.50,0.25,0.94,0.16
137,0.60,0.30,0.59,0.94,0.38,0.55,0.41,0.53,0.92,0.59,0.82,0.87,0.74,0.27,0.54,0.34,0.78,0.07,0.45,0.73,0.53,0.24,0.94,0.23
138,0.64,0.56,0.80,0.89,0.00,0.59,0.45,0.55,0.94,0.69,0.85,0.62,0.88,0.55,0.53,0.53,0.74,0.08,0.54,0.76,0.64,0.24,0.95,0.19
139,0.64,0.56,0.78,0.89,0.00,0.63,0.43,0.49,0.95,0.69,0.80,0.62,0.81,0.47,0.53,0.46,0.74,0.22,0.52,0.38,0.60,0.25,0.94,0.21
140,0.75,0.54,0.87,0.91,0.00,0.74,0.45,0.50,0.95,0.75,0.81,0.65,0.86,0.67,0.49,0.65,0.65,0.07,0.63,0.69,0.74,0.24,0.96,0.25
141,0.74,0.56,0.89,0.92,0.00,0.73,0.42,0.51,0.95,0.75,0.84,0.66,0.88,0.69,0.50,0.66,0.66,0.07,0.63,0.81,0.74,0.25,0.96,0.25
142,0.79,0.62,0.91,0.90,0.00,0.76,0.42,0.50,0.95,0.76,0.85,0.69,0.89,0.78,0.49,0.72,0.65,0.07,0.67,0.82,0.80,0.24,0.97,0.27
143,0.61,0.37,0.74,0.92,0.14,0.63,0.45,0.51,0.94,0.65,0.88,0.81,0.83,0.49,0.56,0.45,0.77,0.10,0.52,0.78,0.65,0.25,0.95,0.20
144,0.53,0.36,0.51,0.92,0.36,0.20,0.43,0.54,0.94,0.62,0.84,0.85,0.75,0.32,0.57,0.34,0.80,0.24,0.41,0.76,0.42,0.24,0.93,0.23
145,0.69,0.54,0.83,0.91,0.00,0.76,0.43,0.56,0.94,0.71,0.85,0.63,0.88,0.56,0.53,0.53,0.73,0.06,0.59,0.80,0.67,0.24,0.95,0.24
146,0.76,0.59,0.88,0.90,0.00,0.70,0.43,0.55,0.94,0.74,0.84,0.68,0.87,0.67,0.49,0.65,0.65,0.07,0.64,0.83,0.75,0.24,0.96,0.23
147,0.75,0.62,0.91,0.90,0.00,0.72,0.41,0.54,0.94,0.75,0.83,0.68,0.86,0.71,0.49,0.67,0.66,0.06,0.64,0.83,0.78,0.25,0.97,0.27
148,0.77,0.57,0.90,0.91,0.00,0.79,0.47,0.52,0.95,0.75,0.87,0.69,0.90,0.71,0.50,0.65,0.70,0.06,0.68,0.84,0.77,0.25,0.97,0.25
149,0.76,0.49,0.91,0.90,0.00,0.75,0.47,0.51,0.95,0.76,0.85,0.69,0.88,0.74,0.48,0.65,0.69,0.06,0.66,0.83,0.76,0.25,0.96,0.20
150,0.77,0.48,0.91,0.91,0.00,0.81,0.43,0.53,0.94,0.74,0.85,0.72,0.87,0.76,0.48,0.67,0.67,0.07,0.66,0.83,0.77,0.24,0.97,0.20
151,0.70,0.42,0.81,0.90,0.00,0.80,0.46,0.53,0.94,0.70,0.83,0.67,0.84,0.55,0.52,0.45,0.76,0.09,0.60,0.59,0.64,0.24,0.94,0.22
152,0.72,0.44,0.88,0.90,0.00,0.71,0.45,0.55,0.94,0.73,0.85,0.71,0.87,0.67,0.50,0.60,0.70,0.07,0.62,0.82,0.74,0.25,0.96,0.22
153,0.72,0.44,0.86,0.92,0.00,0.70,0.43,0.54,0.95,0.71,0.85,0.70,0.87,0.62,0.52,0.53,0.75,0.07,0.59,0.81,0.71,0.25,0.95,0.22
154,0.72,0.37,0.77,0.92,0.10,0.78,0.43,0.54,0.94,0.66,0.86,0.64,0.87,0.54,0.54,0.50,0.73,0.10,0.62,0.80,0.70,0.25,0.95,0.26
155,0.73,0.41,0.83,0.92,0.00,0.72,0.42,0.54,0.94,0.70,0.84,0.67,0.86,0.69,0.50,0.56,0.70,0.08,0.62,0.80,0.72,0.24,0.96,0.19
156,0.78,0.45,0.88,0.92,0.00,0.70,0.43,0.54,0.94,0.73,0.85,0.71,0.86,0.75,0.49,0.66,0.67,0.08,0.68,0.82,0.79,0.24,0.97,0.18
157,0.77,0.51,0.91,0.92,0.00,0.65,0.43,0.54,0.94,0.74,0.87,0.72,0.88,0.77,0.48,0.67,0.67,0.12,0.68,0.84,0.79,0.24,0.97,0.22
158,0.75,0.44,0.88,0.93,0.00,0.78,0.46,0.52,0.95,0.74,0.88,0.70,0.91,0.67,0.51,0.66,0.69,0.10,0.66,0.84,0.76,0.25,0.96,0.22
159,0.75,0.49,0.90,0.92,0.00,0.80,0.48,0.53,0.94,0.75,0.87,0.75,0.89,0.71,0.50,0.72,0.67,0.13,0.67,0.85,0.77,0.24,0.96,0.22
160,0.76,0.42,0.87,0.94,0.00,0.74,0.44,0.53,0.94,0.73,0.87,0.74,0.89,0.64,0.51,0.62,0.71,0.13,0.65,0.83,0.74,0.25,0.96,0.28
161,0.73,0.47,0.87,0.93,0.00,0.73,0.47,0.52,0.95,0.73,0.88,0.74,0.90,0.64,0.51,0.65,0.71,0.12,0.66,0.85,0.75,0.25,0.96,0.24
162,0.76,0.45,0.88,0.93,0.00,0.77,0.45,0.50,0.96,0.74,0.88,0.73,0.90,0.67,0.49,0.66,0.69,0.11,0.66,0.85,0.76,0.25,0.96,0.22
163,0.61,0.40,0.74,0.94,0.00,0.67,0.45,0.53,0.95,0.66,0.90,0.64,0.92,0.39,0.57,0.40,0.84,0.13,0.52,0.81,0.56,0.25,0.94,0.20
164,0.65,0.42,0.77,0.95,0.00,0.58,0.44,0.52,0.95,0.68,0.90,0.65,0.93,0.47,0.55,0.46,0.79,0.13,0.54,0.82,0.60,0.24,0.94,0.21
165,0.68,0.32,0.44,0.91,0.89,0.30,0.45,0.52,0.95,0.70,0.90,0.87,0.87,0.29,0.58,0.27,0.90,0.23,0.55,0.81,0.69,0.24,0.95,0.11
166,0.77,0.42,0.74,0.90,0.22,0.61,0.45,0.53,0.95,0.67,0.91,0.63,0.92,0.47,0.54,0.50,0.77,0.13,0.62,0.84,0.73,0.24,0.96,0.27
167,0.59,0.36,0.59,0.92,0.28,0.57,0.43,0.53,0.95,0.60,0.92,0.85,0.86,0.21,0.57,0.32,0.88,0.17,0.50,0.80,0.56,0.24,0.94,0.22
168,0.58,0.38,0.59,0.93,0.34,0.58,0.45,0.54,0.95,0.59,0.93,0.53,0.97,0.21,0.57,0.24,0.92,0.17,0.55,0.81,0.58,0.24,0.94,0.25
169,0.60,0.48,0.66,0.93,0.34,0.58,0.47,0.55,0.95,0.62,0.93,0.57,0.97,0.39,0.57,0.40,0.83,0.16,0.60,0.83,0.68,0.25,0.95,0.25
170,0.65,0.43,0.74,0.92,0.09,0.60,0.48,0.55,0.94,0.66,0.87,0.63,0.89,0.49,0.53,0.56,0.72,0.15,0.61,0.83,0.65,0.25,0.95,0.22
171,0.65,0.42,0.74,0.92,0.00,0.63,0.47,0.55,0.94,0.67,0.91,0.63,0.94,0.44,0.55,0.52,0.77,0.14,0.55,0.82,0.60,0.24,0.94,0.23
172,0.67,0.39,0.74,0.92,0.10,0.62,0.47,0.53,0.95,0.67,0.91,0.62,0.94,0.43,0.56,0.46,0.81,0.12,0.58,0.82,0.65,0.25,0.95,0.25
173,0.69,0.40,0.74,0.91,0.14,0.64,0.51,0.53,0.95,0.68,0.91,0.88,0.88,0.50,0.52,0.47,0.80,0.12,0.64,0.84,0.70,0.25,0.95,0.24
174,0.73,0.43,0.81,0.91,0.00,0.75,0.51,0.50,0.96,0.71,0.90,0.66,0.94,0.50,0.54,0.67,0.70,0.12,0.61,0.82,0.70,0.24,0.95,0.21
175,0.70,0.42,0.81,0.92,0.00,0.77,0.51,0.51,0.96,0.70,0.90,0.67,0.93,0.50,0.54,0.72,0.69,0.13,0.62,0.83,0.70,0.25,0.95,0.21
176,0.71,0.43,0.81,0.92,0.00,0.83,0.48,0.51,0.92,0.70,0.72,0.68,0.73,0.50,0.46,0.69,0.63,0.13,0.62,0.83,0.68,0.24,0.95,0.23
177,0.78,0.44,0.88,0.90,0.00,0.82,0.45,0.49,0.96,0.74,0.90,0.72,0.92,0.71,0.49,0.81,0.65,0.13,0.64,0.84,0.78,0.25,0.97,0.23
178,0.76,0.46,0.88,0.92,0.00,0.86,0.43,0.49,0.96,0.73,0.88,0.73,0.91,0.72,0.47,0.76,0.65,0.13,0.65,0.84,0.78,0.25,0.97,0.27
179,0.80,0.50,0.88,0.91,0.00,0.87,0.45,0.49,0.96,0.72,0.87,0.73,0.88,0.73,0.48,0.77,0.63,0.13,0.66,0.84,0.78,0.24,0.97,0.26
180,0.77,0.47,0.88,0.91,0.00,0.80,0.46,0.52,0.96,0.73,0.88,0.71,0.90,0.69,0.49,0.78,0.64,0.14,0.66,0.84,0.78,0.24,0.97,0.23
181,0.77,0.42,0.88,0.91,0.00,0.74,0.47,0.52,0.95,0.73,0.88,0.71,0.90,0.67,0.49,0.78,0.64,0.14,0.66,0.85,0.78,0.25,0.97,0.21
182,0.76,0.45,0.88,0.91,0.00,0.82,0.46,0.52,0.95,0.73,0.87,0.72,0.89,0.67,0.48,0.77,0.62,0.13,0.66,0.84,0.78,0.24,0.97,0.24
183,0.60,0.40,0.74,0.91,0.01,0.81,0.45,0.54,0.94,0.66,0.90,0.66,0.91,0.42,0.55,0.48,0.78,0.13,0.50,0.82,0.58,0.25,0.94,0.22
184,0.51,0.34,0.53,0.93,0.27,0.63,0.40,0.54,0.94,0.58,0.92,0.75,0.89,0.23,0.57,0.31,0.88,0.24,0.42,0.79,0.46,0.25,0.93,0.26
185,0.68,0.42,0.51,0.91,0.58,0.64,0.37,0.54,0.93,0.66,0.89,0.73,0.89,0.21,0.55,0.25,0.88,0.18,0.52,0.81,0.60,0.25,0.95,0.13
186,0.68,0.38,0.77,0.92,0.00,0.62,0.42,0.52,0.96,0.68,0.90,0.59,0.94,0.51,0.55,0.66,0.68,0.16,0.58,0.83,0.67,0.25,0.95,0.37
187,0.67,0.49,0.81,0.91,0.00,0.69,0.45,0.52,0.95,0.70,0.89,0.64,0.92,0.60,0.53,0.67,0.68,0.15,0.58,0.84,0.68,0.25,0.95,0.22
188,0.73,0.47,0.85,0.90,0.00,0.79,0.42,0.53,0.96,0.72,0.89,0.66,0.91,0.63,0.51,0.72,0.67,0.12,0.60,0.84,0.72,0.25,0.95,0.27
189,0.74,0.48,0.81,0.89,0.00,0.73,0.40,0.51,0.96,0.70,0.89,0.64,0.92,0.53,0.53,0.64,0.69,0.13,0.60,0.83,0.66,0.25,0.95,0.25
190,0.75,0.41,0.86,0.91,0.00,0.77,0.48,0.52,0.95,0.72,0.89,0.66,0.92,0.63,0.51,0.74,0.65,0.13,0.64,0.85,0.75,0.25,0.96,0.24
191,0.73,0.40,0.86,0.90,0.00,0.80,0.46,0.53,0.95,0.71,0.89,0.68,0.91,0.63,0.51,0.74,0.65,0.13,0.64,0.85,0.74,0.24,0.96,0.23
192,0.72,0.46,0.86,0.91,0.00,0.76,0.43,0.54,0.95,0.72,0.86,0.69,0.88,0.65,0.51,0.67,0.67,0.13,0.59,0.84,0.72,0.25,0.96,0.25
193,0.72,0.46,0.86,0.91,0.00,0.78,0.44,0.54,0.95,0.73,0.86,0.69,0.89,0.63,0.52,0.68,0.66,0.13,0.60,0.84,0.73,0.24,0.96,0.25
194,0.77,0.43,0.86,0.90,0.00,0.76,0.45,0.53,0.95,0.73,0.87,0.70,0.88,0.60,0.52,0.70,0.65,0.13,0.63,0.85,0.75,0.25,0.96,0.24
195,0.77,0.45,0.88,0.91,0.00,0.78,0.45,0.54,0.95,0.72,0.87,0.71,0.90,0.67,0.51,0.77,0.64,0.13,0.67,0.85,0.79,0.24,0.97,0.26
196,0.80,0.46,0.88,0.91,0.00,0.81,0.44,0.54,0.94,0.72,0.87,0.71,0.88,0.70,0.49,0.77,0.62,0.14,0.64,0.84,0.77,0.24,0.96,0.24
197,0.79,0.47,0.88,0.92,0.00,0.77,0.44,0.53,0.94,0.72,0.85,0.70,0.86,0.71,0.49,0.77,0.61,0.14,0.65,0.83,0.76,0.24,0.96,0.25
198,0.68,0.42,0.81,0.92,0.00,0.68,0.44,0.53,0.95,0.69,0.86,0.66,0.88,0.53,0.54,0.60,0.69,0.12,0.58,0.80,0.67,0.25,0.95,0.28
199,0.69,0.46,0.86,0.90,0.00,0.73,0.46,0.52,0.95,0.70,0.88,0.69,0.87,0.63,0.52,0.69,0.66,0.14,0.63,0.82,0.73,0.25,0.96,0.23
200,0.70,0.46,0.78,0.92,0.00,0.68,0.44,0.52,0.95,0.68,0.89,0.67,0.92,0.53,0.55,0.57,0.72,0.14,0.55,0.84,0.64,0.25,0.95,0.22
201,0.67,0.42,0.77,0.93,0.00,0.70,0.43,0.51,0.95,0.68,0.88,0.63,0.91,0.50,0.57,0.53,0.75,0.13,0.56,0.82,0.62,0.24,0.94,0.25
202,0.74,0.47,0.83,0.92,0.00,0.70,0.44,0.57,0.94,0.70,0.88,0.68,0.91,0.64,0.54,0.63,0.69,0.14,0.62,0.85,0.70,0.24,0.95,0.17
203,0.23,0.78,0.07,0.89,0.90,0.25,0.31,0.64,0.62,0.54,0.16,0.73,0.09,0.34,0.22,0.19,0.42,0.73,0.18,0.76,0.08,0.27,0.93,0.95
204,0.26,0.68,0.08,0.87,0.93,0.12,0.34,0.65,0.70,0.50,0.27,0.67,0.45,0.26,0.27,0.17,0.43,0.66,0.16,0.77,0.10,0.28,0.90,0.95
205,0.60,0.27,0.40,0.87,0.91,0.54,0.35,0.55,0.89,0.62,0.56,0.68,0.79,0.35,0.53,0.22,0.87,0.23,0.44,0.72,0.55,0.31,0.95,0.13
206,0.55,0.33,0.44,0.88,0.72,0.54,0.39,0.53,0.91,0.68,0.56,0.69,0.82,0.42,0.56,0.22,0.92,0.18,0.44,0.75,0.54,0.30,0.94,0.18
207,0.61,0.46,0.74,0.88,0.17,0.54,0.43,0.52,0.92,0.66,0.61,0.71,0.84,0.51,0.54,0.55,0.72,0.14,0.55,0.78,0.62,0.30,0.94,0.39
208,0.77,0.45,0.74,0.86,0.36,0.47,0.42,0.52,0.93,0.74,0.59,0.79,0.82,0.66,0.52,0.59,0.70,0.12,0.63,0.81,0.73,0.30,0.96,0.20
209,0.78,0.57,0.81,0.87,0.20,0.56,0.46,0.52,0.94,0.71,0.62,0.81,0.82,0.56,0.55,0.76,0.62,0.13,0.66,0.84,0.74,0.29,0.97,0.21
210,0.75,0.49,0.81,0.87,0.23,0.61,0.47,0.53,0.95,0.71,0.62,0.85,0.83,0.56,0.52,0.79,0.61,0.12,0.68,0.84,0.79,0.29,0.97,0.20
211,0.73,0.44,0.75,0.86,0.33,0.57,0.46,0.52,0.96,0.70,0.61,0.85,0.82,0.56,0.53,0.76,0.61,0.15,0.65,0.84,0.76,0.29,0.97,0.28
212,0.67,0.65,0.75,0.86,0.08,0.78,0.46,0.52,0.96,0.70,0.62,0.85,0.81,0.59,0.53,0.76,0.62,0.21,0.59,0.84,0.64,0.30,0.95,0.27
213,0.62,0.75,0.75,0.87,0.00,0.77,0.46,0.53,0.95,0.70,0.62,0.85,0.81,0.60,0.53,0.75,0.62,0.27,0.56,0.84,0.58,0.30,0.95,0.23
214,0.47,0.50,0.23,0.89,0.80,0.45,0.47,0.50,0.94,0.60,0.59,0.69,0.81,0.28,0.56,0.29,0.83,0.43,0.34,0.77,0.30,0.29,0.91,0.18
215,0.38,0.59,0.23,0.89,0.72,0.26,0.40,0.52,0.94,0.60,0.58,0.68,0.79,0.28,0.56,0.29,0.81,0.47,0.32,0.77,0.24,0.30,0.91,0.21
216,0.24,0.62,0.21,0.89,0.59,0.00,0.24,0.67,0.73,0.60,0.04,0.70,0.40,0.20,0.29,0.24,0.53,0.55,0.27,0.76,0.14,0.30,0.93,0.14
217,0.16,0.66,0.07,0.75,0.87,0.00,0.06,0.02,0.36,0.66,0.32,0.73,0.24,0.86,0.01,0.24,0.30,0.92,0.22,0.50,0.04,0.23,0.93,0.14
218,0.19,0.57,0.08,0.74,0.97,0.00,0.04,0.45,0.69,0.66,0.33,0.73,0.26,0.50,0.20,0.26,0.31,0.85,0.22,0.48,0.10,0.25,0.93,0.14
219,0.24,0.57,0.11,0.81,0.96,0.00,0.05,0.49,0.73,0.66,0.39,0.73,0.32,0.51,0.27,0.26,0.37,0.81,0.21,0.50,0.18,0.24,0.91,0.14
220,0.45,0.33,0.38,0.84,0.63,0.21,0.44,0.55,0.89,0.66,0.86,0.75,0.82,0.40,0.52,0.26,0.92,0.34,0.37,0.64,0.41,0.22,0.94,0.15
221,0.48,0.34,0.44,0.87,0.57,0.21,0.46,0.54,0.90,0.70,0.85,0.75,0.82,0.37,0.53,0.27,0.92,0.28,0.34,0.64,0.46,0.25,0.92,0.18
222,0.65,0.56,0.73,0.92,0.19,0.68,0.47,0.51,0.91,0.70,0.84,0.73,0.83,0.50,0.50,0.46,0.80,0.18,0.54,0.69,0.67,0.25,0.95,0.17
223,0.63,0.60,0.66,0.91,0.29,0.68,0.48,0.50,0.91,0.74,0.83,0.77,0.82,0.53,0.50,0.46,0.79,0.17,0.52,0.68,0.64,0.24,0.94,0.17
224,0.54,0.53,0.36,0.93,0.63,0.19,0.48,0.60,0.88,0.74,0.84,0.77,0.83,0.61,0.50,0.46,0.80,0.43,0.39,0.71,0.41,0.25,0.92,0.17
225,0.65,0.49,0.48,0.91,0.70,0.54,0.47,0.50,0.92,0.66,0.88,0.71,0.86,0.22,0.56,0.31,0.89,0.23,0.55,0.70,0.64,0.25,0.95,0.16
226,0.67,0.68,0.83,0.91,0.00,0.66,0.44,0.50,0.94,0.72,0.88,0.68,0.89,0.60,0.49,0.58,0.77,0.11,0.56,0.75,0.67,0.27,0.95,0.15
227,0.68,0.69,0.85,0.91,0.00,0.63,0.42,0.56,0.94,0.72,0.89,0.69,0.90,0.66,0.49,0.59,0.77,0.12,0.55,0.77,0.68,0.25,0.95,0.17
228,0.66,0.57,0.74,0.91,0.20,0.70,0.38,0.58,0.94,0.69,0.89,0.80,0.87,0.42,0.54,0.44,0.85,0.10,0.51,0.76,0.67,0.25,0.95,0.20
229,0.68,0.28,0.55,0.92,0.64,0.64,0.40,0.88,0.94,0.66,0.91,0.77,0.87,0.44,0.41,0.26,0.95,0.14,0.59,0.74,0.69,0.26,0.95,0.17
230,0.70,0.65,0.77,0.94,0.20,0.57,0.42,0.53,0.95,0.71,0.90,0.64,0.92,0.49,0.55,0.50,0.81,0.14,0.58,0.78,0.74,0.25,0.96,0.24
231,0.69,0.62,0.77,0.94,0.10,0.71,0.44,0.52,0.96,0.71,0.91,0.66,0.94,0.49,0.55,0.49,0.83,0.13,0.58,0.78,0.68,0.25,0.95,0.19
232,0.72,0.67,0.87,0.93,0.00,0.78,0.43,0.51,0.95,0.76,0.85,0.71,0.87,0.66,0.49,0.74,0.67,0.13,0.61,0.76,0.76,0.25,0.96,0.27
233,0.69,0.61,0.83,0.95,0.03,0.74,0.48,0.51,0.96,0.74,0.89,0.75,0.88,0.55,0.53,0.69,0.73,0.14,0.59,0.77,0.73,0.24,0.95,0.29
234,0.65,0.49,0.74,0.94,0.21,0.62,0.48,0.84,0.95,0.69,0.91,0.87,0.86,0.46,0.41,0.56,0.79,0.11,0.59,0.76,0.71,0.25,0.96,0.30
235,0.70,0.64,0.80,0.93,0.00,0.65,0.49,0.85,0.95,0.69,0.92,0.67,0.92,0.52,0.41,0.57,0.79,0.10,0.62,0.78,0.67,0.24,0.95,0.25
236,0.75,0.61,0.86,0.92,0.00,0.67,0.50,0.84,0.96,0.71,0.94,0.70,0.95,0.63,0.42,0.70,0.74,0.09,0.66,0.79,0.75,0.25,0.96,0.25
237,0.79,0.56,0.90,0.92,0.00,0.63,0.51,0.83,0.96,0.73,0.95,0.72,0.96,0.72,0.42,0.82,0.72,0.10,0.71,0.82,0.81,0.24,0.97,0.22
238,0.84,0.65,0.97,0.91,0.00,0.76,0.50,0.85,0.96,0.76,0.93,0.78,0.93,0.85,0.40,0.90,0.67,0.09,0.77,0.82,0.90,0.24,0.98,0.16
239,0.64,0.37,0.78,0.93,0.00,0.72,0.51,0.85,0.95,0.68,0.94,0.69,0.94,0.40,0.40,0.57,0.79,0.11,0.49,0.75,0.62,0.25,0.95,0.17
240,0.68,0.42,0.83,0.93,0.00,0.63,0.50,0.85,0.95,0.70,0.94,0.71,0.92,0.50,0.41,0.67,0.75,0.11,0.61,0.76,0.70,0.25,0.95,0.25
241,0.73,0.48,0.87,0.93,0.00,0.74,0.51,0.86,0.95,0.72,0.94,0.73,0.95,0.60,0.43,0.77,0.74,0.11,0.59,0.78,0.76,0.25,0.96,0.25
242,0.72,0.43,0.74,0.92,0.00,0.79,0.54,0.86,0.95,0.67,0.96,0.67,0.96,0.33,0.42,0.59,0.79,0.11,0.39,0.75,0.60,0.25,0.94,0.22
243,0.71,0.46,0.81,0.92,0.00,0.79,0.54,0.86,0.95,0.70,0.95,0.71,0.96,0.47,0.41,0.72,0.74,0.12,0.41,0.77,0.70,0.25,0.96,0.21
244,0.76,0.56,0.86,0.94,0.00,0.78,0.51,0.86,0.95,0.72,0.94,0.73,0.94,0.59,0.41,0.82,0.71,0.12,0.62,0.78,0.78,0.24,0.96,0.28
245,0.87,0.63,0.93,0.95,0.00,0.77,0.50,0.50,0.95,0.74,0.92,0.75,0.93,0.74,0.48,0.89,0.67,0.10,0.76,0.81,0.87,0.25,0.98,0.24
246,0.87,0.66,0.97,0.94,0.00,0.76,0.49,0.50,0.96,0.76,0.91,0.77,0.92,0.85,0.45,0.94,0.66,0.09,0.78,0.82,0.92,0.24,0.98,0.25
247,0.88,0.64,0.98,0.94,0.00,0.76,0.47,0.50,0.96,0.78,0.91,0.79,0.92,0.86,0.45,0.93,0.67,0.09,0.80,0.84,0.92,0.24,0.98,0.28
248,0.86,0.60,0.98,0.96,0.00,0.77,0.45,0.51,0.95,0.78,0.91,0.79,0.92,0.83,0.46,0.91,0.67,0.08,0.79,0.84,0.91,0.24,0.98,0.26
249,0.78,0.56,0.89,0.93,0.00,0.78,0.47,0.51,0.96,0.73,0.93,0.73,0.94,0.70,0.48,0.75,0.72,0.10,0.73,0.81,0.80,0.25,0.97,0.24
250,0.79,0.60,0.91,0.93,0.00,0.78,0.48,0.50,0.96,0.74,0.93,0.75,0.93,0.77,0.47,0.80,0.70,0.09,0.71,0.82,0.83,0.25,0.97,0.29
251,0.83,0.54,0.91,0.94,0.00,0.78,0.48,0.50,0.96,0.74,0.93,0.75,0.93,0.77,0.47,0.79,0.71,0.09,0.71,0.82,0.83,0.24,0.97,0.24
252,0.87,0.55,0.96,0.95,0.00,0.77,0.50,0.50,0.95,0.76,0.94,0.78,0.94,0.89,0.45,0.86,0.71,0.09,0.78,0.84,0.89,0.25,0.98,0.27
253,0.86,0.61,0.96,0.95,0.00,0.78,0.47,0.51,0.95,0.76,0.92,0.78,0.93,0.87,0.45,0.85,0.69,0.09,0.78,0.84,0.87,0.24,0.98,0.24
254,0.82,0.61,0.97,0.95,0.00,0.79,0.47,0.50,0.96,0.76,0.93,0.79,0.93,0.86,0.45,0.86,0.70,0.08,0.78,0.85,0.87,0.25,0.98,0.24
255,0.85,0.61,0.98,0.95,0.00,0.79,0.50,0.51,0.96,0.77,0.93,0.80,0.94,0.88,0.46,0.87,0.70,0.09,0.80,0.85,0.88,0.24,0.98,0.24
256,0.88,0.64,0.99,0.95,0.00,0.70,0.49,0.51,0.96,0.78,0.93,0.79,0.94,0.89,0.45,0.89,0.70,0.09,0.80,0.86,0.88,0.24,0.98,0.24
257,0.88,0.62,1.00,0.95,0.00,0.79,0.48,0.51,0.95,0.79,0.92,0.79,0.93,0.87,0.45,0.86,0.69,0.08,0.80,0.86,0.89,0.24,0.98,0.24
258,0.87,0.54,1.00,0.95,0.00,0.77,0.49,0.52,0.96,0.79,0.92,0.78,0.94,0.85,0.46,0.85,0.70,0.07,0.81,0.86,0.90,0.24,0.98,0.25
259,0.87,0.54,1.00,0.96,0.00,0.80,0.49,0.52,0.95,0.79,0.92,0.78,0.93,0.85,0.46,0.84,0.70,0.06,0.79,0.86,0.91,0.24,0.98,0.25
260,0.89,0.57,1.00,0.94,0.00,0.80,0.48,0.52,0.95,0.79,0.91,0.79,0.93,0.86,0.47,0.87,0.69,0.06,0.81,0.87,0.93,0.24,0.98,0.27
261,0.90,0.54,1.00,0.94,0.00,0.80,0.49,0.53,0.95,0.80,0.91,0.79,0.93,0.85,0.47,0.86,0.70,0.06,0.81,0.87,0.90,0.24,0.98,0.25
262,0.88,0.55,0.99,0.94,0.00,0.83,0.47,0.53,0.95,0.80,0.92,0.79,0.93,0.85,0.47,0.84,0.70,0.06,0.81,0.87,0.92,0.24,0.98,0.26
263,0.89,0.58,1.00,0.94,0.00,0.79,0.46,0.54,0.96,0.81,0.91,0.76,0.95,0.86,0.48,0.85,0.71,0.07,0.81,0.87,0.91,0.24,0.98,0.29
264,0.87,0.59,1.00,0.94,0.00,0.79,0.45,0.54,0.95,0.83,0.91,0.75,0.95,0.85,0.46,0.86,0.70,0.07,0.79,0.87,0.89,0.25,0.98,0.27
265,0.88,0.54,1.00,0.94,0.00,0.75,0.47,0.54,0.95,0.83,0.91,0.75,0.94,0.85,0.46,0.87,0.69,0.07,0.79,0.87,0.90,0.24,0.98,0.29
266,0.88,0.52,1.00,0.95,0.00,0.76,0.50,0.54,0.94,0.80,0.91,0.76,0.93,0.87,0.46,0.88,0.68,0.06,0.80,0.87,0.91,0.25,0.98,0.26
267,0.88,0.55,1.00,0.93,0.00,0.82,0.50,0.53,0.94,0.80,0.91,0.77,0.92,0.89,0.44,0.89,0.67,0.07,0.82,0.88,0.91,0.24,0.98,0.26
268,0.91,0.54,1.00,0.93,0.00,0.82,0.50,0.53,0.95,0.82,0.91,0.77,0.94,0.87,0.45,0.87,0.69,0.06,0.83,0.88,0.91,0.25,0.98,0.23
269,0.89,0.57,0.99,0.96,0.00,0.75,0.48,0.53,0.94,0.83,0.91,0.76,0.94,0.86,0.45,0.90,0.69,0.04,0.83,0.89,0.91,0.24,0.98,0.22
270,0.87,0.51,0.99,0.97,0.00,0.81,0.48,0.53,0.94,0.84,0.90,0.76,0.92,0.86,0.45,0.83,0.70,0.04,0.81,0.87,0.92,0.24,0.98,0.24
271,0.92,0.52,1.00,0.97,0.00,0.81,0.49,0.54,0.95,0.83,0.90,0.77,0.92,0.86,0.45,0.81,0.70,0.06,0.78,0.87,0.92,0.25,0.98,0.30
272,0.93,0.45,1.00,0.97,0.00,0.81,0.49,0.53,0.94,0.83,0.90,0.76,0.92,0.86,0.45,0.86,0.68,0.05,0.76,0.88,0.93,0.25,0.98,0.26
273,0.73,0.31,0.83,0.96,0.00,0.59,0.44,0.52,0.94,0.73,0.88,0.66,0.91,0.51,0.53,0.52,0.80,0.06,0.57,0.78,0.69,0.25,0.95,0.28
274,0.91,0.58,0.96,0.94,0.00,0.94,0.50,0.51,0.95,0.78,0.91,0.76,0.94,0.89,0.46,0.93,0.66,0.06,0.80,0.89,0.90,0.24,0.98,0.21
275,0.90,0.57,0.96,0.96,0.00,0.93,0.51,0.85,0.95,0.78,0.92,0.76,0.94,0.88,0.41,0.92,0.68,0.06,0.79,0.89,0.90,0.25,0.98,0.25
